"BillType","BillNumber","CurrentStatus","LDOA","IntroDate","ActualBillNumber","BillParty1","BillParty2","BillParty3","GovernorAction","GovernorDateOfAction","PamphletLaw","ChapterLaw","EffectOnStatutes","EffectiveDate","Codification","FirstPrime","SecondPrime","ThirdPrime","Synopsis","EfDateNote","IdenticalBillNumber","LastSessionFullBillNumber","OldBillNumber","ProposedDate","Abstract","ModDate","FNCertified"
"A  ",110,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A110","R","R",,,,,,,,,"Guardian, Donald A.","Sauickie, Alex ",,"Revises criteria to establish base year for homestead property tax reimbursement after relocation.",,"S1756","A1327/2873 (ACS)  S2148","A1309 S566",11/17/2023 0:00:00,"Homestead property tax reimbursement-revises criteria to establish base year",2/10/2025 0:00:00,"Y"
"A  ",111,"AHU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A111","R","D",,,,,,,,,"Guardian, Donald A.","Venezia, Michael ",,"Requires DHS to create English and Spanish-language Internet websites to promote enrollment in affordable health care plans.",,"S97","A1338 S1956","A1321 S1185",11/17/2023 0:00:00,"Affordable health care plans-create English/Spanish language Internet websites",2/8/2024 0:00:00,"Y"
"A  ",112,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A112","R","D","R",,,,,,,,"Guardian, Donald A.","Bailey, David ","Scharfenberger, Gerry ","Exempts certain motor vehicles that are owned by certain nutrition programs and certain nonprofit organizations that offer social services from motor vehicle registration fees.",,"S2723","A1476 (1R) S930","A1444",11/17/2023 0:00:00,"Senior nutrition programs' motor vehicles-exempts from registration fees",3/7/2024 0:00:00,"Y"
"A  ",113,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A113","R",,,,,,,,,,"Guardian, Donald A.",,,"Requires retail establishments to allow individuals with certain medical conditions access to employee restrooms.",,,"A1874 S574","A4000 S1427",11/17/2023 0:00:00,"Individual with medical condition-retail establishment allow access to restroom",1/30/2024 0:00:00,"Y"
"A  ",114,"ACW",1/9/2024 0:00:00,1/9/2024 0:00:00,"A114","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes Statewide database of beds in shelters for the homeless.",,"S1152","A1956","A2186 (1R) S1599 (1R)",1/5/2024 0:00:00,"Homeless shelter-establish Statewide database of beds",1/29/2024 0:00:00,"N"
"A  ",115,"AHU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A115","R",,,,,,,,,,"Guardian, Donald A.",,,"""New Jersey Disability Savings Act.""",,"S804","A2043 (3R) S690 (1R)","A6111 S4100",11/17/2023 0:00:00,"Disability Savings Act-concerns tax deductions for certain disability expenses",12/11/2024 0:00:00,"Y"
"A  ",116,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A116","R","D",,,,,,,,,"Guardian, Donald A.","Peterpaul, Luanne M.",,"Requires State department, agency, authority, or instrumentality thereof to provide link on its website for members of public to submit complaints.",,"S2747  ","A2659 S2405","A1296 S2214",11/17/2023 0:00:00,"Complaints, public-State department required to provide a link on its website",2/22/2024 0:00:00,"N"
"A  ",117,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A117","R",,,,,,,,,,"Guardian, Donald A.",,,"Authorizes performance of supplemental environmental project to replace portion of monetary penalties for environmental violations in certain circumstances.",,,"A2744","A3706",11/17/2023 0:00:00,"Environmental project, supplemental-replace portion of monetary penalty for viol",11/17/2023 0:00:00,"N"
"A  ",118,"AMV",1/9/2024 0:00:00,1/9/2024 0:00:00,"A118","R",,,,,,,,,,"Guardian, Donald A.",,,"Provides credits under corporation business tax and gross income tax for qualified wages of certain disabled veterans.",,"S2301  ","A3374 S1477","A265 S1571",11/17/2023 0:00:00,"Veterans, disabled-provides credits under CBT and income tax for qualified wages",1/30/2024 0:00:00,"Y"
"A  ",119,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A119","R",,,,,,,,,,"Guardian, Donald A.",,,"Allocates $50 million to Department of Labor and Workforce Development from federal government assistance to improve unemployment insurance benefit claims processing capacity.",,,"A3828 S2379","A4380 S2488",11/17/2023 0:00:00,"Labor & Workforce Devel.-allocates $50M from fed. govt assistance, improve unemp",11/17/2023 0:00:00,"N"
"A  ",120,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A120","R",,,,,,,,,,"Guardian, Donald A.",,,"Directs State Auditor to audit Division of Unemployment and Temporary Disability Insurance in DOLWD.",,,"A3829 S2380","S2512 A4249",11/17/2023 0:00:00,"Unemployment & Temp Disability Insurance, Division-direct State Auditor to audit",11/17/2023 0:00:00,"N"
"A  ",121,"WAPP",1/9/2024 0:00:00,1/9/2024 0:00:00,"A121","R",,,,,,,,,,"Guardian, Donald A.",,,"Authorizes CRDA to finance transportation projects between Atlantic City Airport and Atlantic City Tourism District.",,"S151","A3936 S1110","S497",11/17/2023 0:00:00,"Transportation projects between AC Airport & Tourism Dist.-auth. CRDA to finance",1/22/2024 0:00:00,"N"
"A  ",122,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A122","R",,,,,,,,,,"Guardian, Donald A.",,,"Requires establishment of central database of State programs on official website.",,,"A4220",,11/17/2023 0:00:00,"Programs, State-requires establishment of central database on official website",1/31/2024 0:00:00,"Y"
"A  ",123,"AMV",1/9/2024 0:00:00,1/9/2024 0:00:00,"A123","R",,,,,,,,,,"Guardian, Donald A.",,,"Requires partial State reimbursement to municipalities for cost of disabled veterans' total property tax exemption.",,,"A4226 S2920",,11/17/2023 0:00:00,"Disabled veterans total property tax exemption-req. partial State reimbursement",1/30/2024 0:00:00,"Y"
"A  ",124,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A124","R","D",,,,,,,,,"Guardian, Donald A.","Morales, Carmen Theresa",,"Allows gross income tax deduction for up to $1,200 of unreimbursed expenses incurred by eligible educators for purchase of classroom supplies.",,"S953","A4246 S2858",,11/17/2023 0:00:00,"Classroom supply purch.-allow income tax deduction up to $1200, unreimb expenses",2/22/2024 0:00:00,"Y"
"A  ",125,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A125","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes annual 9-1-1 PSAP County Grants.",,,"A4345",,11/17/2023 0:00:00,"9-1-1 PSAP County Grants, annual-establishes",1/31/2024 0:00:00,"Y"
"A  ",126,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A126","R","D",,,,,,,,,"Guardian, Donald A.","Drulis, Mitchelle ",,"Provides family leave for employee to attend certain events of child of employee; establishes tax credits for employer that provide full paid family leave benefits.",,"S172","A4388 S2897",,11/17/2023 0:00:00,"Family leave-provides for employee to attend certain events of child of employee",6/12/2025 0:00:00,"Y"
"A  ",127,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A127","R",,,,,,,,,,"Guardian, Donald A.",,,"Requires State employer to ascertain child abuse or sexual misconduct in employment applications for certain positions involving children; requires background checks for current and prospective employees.",,"S628","A4480 S2688",,11/17/2023 0:00:00,"Employment in positions involving children, State-concerns requirements",2/22/2024 0:00:00,"Y"
"A  ",128,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A128","R","D",,,,,,,,,"Guardian, Donald A.","Morales, Carmen Theresa",,"Allows gross income tax deduction of up to $1,200 for purchases of school supplies by parents and guardians.",,,"A4560",,11/17/2023 0:00:00,"School supplies-allows tax deduction up to $1,200, purchases by parent/guardian",4/4/2024 0:00:00,"Y"
"A  ",129,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A129","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes procedures for seizure, care, and forfeiture of animals involved in animal cruelty violations.",,,"A4563",,1/4/2024 0:00:00,"Animal cruelty violations-establish procedures for seizure, care, and foreiture",1/31/2024 0:00:00,"Y"
"A  ",130,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A130","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Rural Business Development Program"" in EDA; appropriates $35 million to EDA from federal funds.",,,"A4579","S2771 A5356",11/17/2023 0:00:00,"Rural Business Development Program-establishes in EDA;$35M",1/30/2024 0:00:00,"Y"
"A  ",131,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A131","R",,,,,,,,,,"Guardian, Donald A.",,,"Authorizes free hunting, fishing, and trapping licenses and free admission to State parks and forests for disabled veterans and individuals with certain types of military service.",,,"A4603 S158 w/c","S196",1/4/2024 0:00:00,"Military service-auth. free hunting/fishing lic & free admission to St. parks",2/10/2025 0:00:00,"Y"
"A  ",132,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A132","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes certain animal abuse offenses committed in manner manifesting extreme indifference to value of animal's life as crime of second degree; designated as ""River's Law.""",,"S1656","A4664 S633","S614 A1954",1/4/2024 0:00:00,"River's Law-animal abuse, value of animal's life, second degree crime",1/29/2024 0:00:00,"Y"
"A  ",133,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A133","R","D",,,,,,,,,"Guardian, Donald A.","Spearman, William W.",,"Establishes ""ATV Law Enforcement Task Force"" to enhance and coordinate efforts to enforce laws pertaining to ATVs; appropriates $1 million.",,"S175","A4728 S3063",,11/17/2023 0:00:00,"ATV Law Enforce. Task Force-estab., enhance & coordinate efforts to enforce laws",1/31/2024 0:00:00,"Y"
"A  ",134,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A134","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes Nuclear Energy Apprenticeship, Training, and Employment Resources Pilot Program in DOLWD; appropriates $1 million.",,"S1615","A4773 S3149",,11/17/2023 0:00:00,"Nuclear Energy Apprenticeship, Training, & Employment Resources Pilot Prog-estab",1/30/2024 0:00:00,"Y"
"A  ",135,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A135","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Summer Earn and Learn Pilot Program.""",,"S2207","A4844 S1663","S3725",11/17/2023 0:00:00,"Summer Earn & Learn Pilot Program-estab.; concerns access to suppl learning asst",1/29/2024 0:00:00,"Y"
"A  ",136,"ATU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A136","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes Rural Broadband Infrastructure Grant Program in EDA; appropriates $2.5 million in federal funds.",,"S732","A5050 S3730",,11/17/2023 0:00:00,"Rural Broadband Infrastructure Grant Program-establish;$2.5M in federal funds",2/8/2024 0:00:00,"Y"
"A  ",137,"ATG",1/9/2024 0:00:00,1/9/2024 0:00:00,"A137","R",,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""County Tourism Incentive Grant Fund"" within Department of Treasury to provide funding for grants to counties to support tourism advertising and promotion.",,"S159","A5155 S2192","S488 (1R) w/c",11/17/2023 0:00:00,"County Tourism Incentive Grant Fund-establishes",1/30/2024 0:00:00,"Y"
"A  ",138,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A138","R",,,,,,,,,,"Guardian, Donald A.",,,"Creates behavioral health court pilot program.",,"S193","A5719 S4039",,11/17/2023 0:00:00,"Behavioral health court pilot program-creates",1/30/2024 0:00:00,"Y"
"A  ",139,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A139","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Repeals sections of law pertaining to transfer of civil service and non-civil service employees of terminated local health agency to superseding agency.",,,"A102","A122",11/20/2023 0:00:00,"Local health agency, cert employees-repeals law, transfer to superseding agency",11/20/2023 0:00:00,"N"
"A  ",140,"ACW",1/9/2024 0:00:00,1/9/2024 0:00:00,"A140","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits the imposition of affordable housing need and related fees upon the local transfer or move of a business.",,"S492","A104 S1281","A124",11/20/2023 0:00:00,"Affordable housing need/fee-proh imposition upon local transfer or business move",1/29/2024 0:00:00,"Y"
"A  ",141,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A141","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Clarifies that Fish and Game Council has sole authority to regulate freshwater fishing, hunting, and trapping.",,"S1839","A114 S1685","A136 S1419",1/4/2024 0:00:00,"Freshwater fishing/hunting/trapping-Fish/Game Council sole authority to regulate",1/11/2024 0:00:00,"N"
"A  ",142,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A142","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Restricts Commissioner of Education's authority to reject school district's budget proposal.",,"S1841","A121","A143",11/20/2023 0:00:00,"School district's budget proposal-restricts Ed. Commissioner authority to reject",1/11/2024 0:00:00,"N"
"A  ",143,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A143","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Requires Dept. of Agriculture to provide for electronic submittal of milk dealer license applications.",,"S1842","A125","A148",1/4/2024 0:00:00,"Milk dealer license application-Agriculture Department prov electronic submittal",1/29/2024 0:00:00,"Y"
"A  ",144,"ATU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A144","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Exempts certain water quality management structures, funded by certain federal and State grants, from real property taxation.",,,"A128","A151",11/20/2023 0:00:00,"Water quality management structures-exempts from real property taxation",1/30/2024 0:00:00,"Y"
"A  ",146,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A146","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits State departments and agencies from considering or requiring compliance by Highlands planning area municipalities with Highlands regional master plan in certain circumstances.",,,"A133","A155",11/20/2023 0:00:00,"Highlands planning area-prohibits State departments from considering compliance",1/29/2024 0:00:00,"Y"
"A  ",147,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A147","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Provides for direct property tax relief from Highlands Property Tax Stabilization Fund.",,,"A136","A158",11/20/2023 0:00:00,"Highlands Property Tax Stabilization Fund-provides direct property tax relief",1/30/2024 0:00:00,"Y"
"A  ",148,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A148","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Permits farm income averaging credit under the New Jersey gross income tax.",,"S640","A143 S3501","A167",1/5/2024 0:00:00,"Farm income averaging credit-permits under the NJ gross income tax",1/30/2024 0:00:00,"Y"
"A  ",150,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A150","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Eliminates requirement for State residency for public officers and employees with limited historic exceptions.",,"S1669","A148 S833","A174 S261",11/20/2023 0:00:00,"Public officers and employees w/limited historic exceptions-elim State resid req",11/14/2024 0:00:00,"N"
"A  ",151,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A151","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Requires minimum geographic cost adjustment for school districts in all counties.",,,"A149","A175 S2164",11/20/2023 0:00:00,"School districts in all counties-requires miminum geographic cost adjustment",1/29/2024 0:00:00,"Y"
"A  ",152,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A152","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits State's participation in multi-state cap-and-trade program to reduce carbon emissions from transportation sector.",,,"A156","A183",11/20/2023 0:00:00,"Emissions-prohibits State's participation in multi-state cap-and-trade prog.",11/20/2023 0:00:00,"N"
"A  ",153,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A153","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Exempts certain volunteer emergency service organizations from charitable contribution filing fees.",,"S863","A423 S2547","A380",11/20/2023 0:00:00,"Volunteer emergency service org.-exempts from charitable contrib filing fees",2/22/2024 0:00:00,"Y"
"A  ",155,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A155","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Includes value of certain properties exempt from taxation in valuation used to calculate State school aid in SDA districts.",,,"A437","A398",11/20/2023 0:00:00,"State school aid calculation-incl. value of tax exempt prop. from tax valuation",1/29/2024 0:00:00,"Y"
"A  ",156,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A156","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Eliminates seniority in Civil Service and other jurisdictions for reductions in force in certain circumstances.",,,"A2161","A2951",11/20/2023 0:00:00,"Civil Service-eliminates seniority for reductions in force",1/31/2024 0:00:00,"Y"
"A  ",157,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A157","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits exemption of school purposes property taxes under ""Long Term Tax Exemption Law.""",,,"A2163","A5101",11/20/2023 0:00:00,"School purposes property taxes-prohibits exemption",11/20/2023 0:00:00,"N"
"A  ",158,"AHO",1/9/2024 0:00:00,1/9/2024 0:00:00,"A158","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Authorizes imposition of additional fines for overcrowding.",,,"A2169","A3435",11/20/2023 0:00:00,"Overcrowding-authorize additional fines having violated occupancy requirements",11/20/2023 0:00:00,"N"
"A  ",159,"AOF",1/9/2024 0:00:00,1/9/2024 0:00:00,"A159","R","R","R",,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Kanitra, Paul ","Prohibits municipal ordinance to create sanctuary city; establishes State and local employee ethics violation upon noncompliance with federal immigration enforcement request.",,"S2560  ","A2653","A5627 S431",11/20/2023 0:00:00,"Sanctuary city-prohibits municipal ordinance to create",5/16/2024 0:00:00,"N"
"A  ",160,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A160","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits Dept. of Agriculture from regulating minimum property size required per number of honeybee hives.",,,"A2928","A1509",1/5/2024 0:00:00,"Honeybee hives-proh. Dept. of Agriculture from regulating min prop size required",1/5/2024 0:00:00,"N"
"A  ",161,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A161","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Adds rock climbing, bouldering, and ice climbing to definition of ""sport and recreational activities"" in law concerning landowner liability.",,,"A3178","A4307",11/20/2023 0:00:00,"Sport & recreational activity-add rock climbing in law concerning landowner liab",11/20/2023 0:00:00,"N"
"A  ",162,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A162","R","R","R",,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Dunn, Aura K.","Allows possession of bear spray under certain conditions.",,"S824","A3606 S1770","A6068 S4111",1/5/2024 0:00:00,"Bear spray-allows possession under certain conditions",10/17/2024 0:00:00,"N"
"A  ",163,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A163","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Exempts public institutions of higher education from motor vehicle registration fee.",,"S1846","A3609","A4051",11/20/2023 0:00:00,"Motor vehicle registration fees-exempts public higher education institutions",1/31/2024 0:00:00,"Y"
"A  ",164,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A164","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"""New Jersey Jobs Protection Act""; requires verification of employment.",,"S1847","A3610 S647","A4602 S424",11/20/2023 0:00:00,"Jobs Protection Act-verification of employment required",3/11/2024 0:00:00,"Y"
"A  ",165,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A165","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Concerns endangered plant species in NJ.",,,"A3616","A2907",1/5/2024 0:00:00,"Plant species, endangered in NJ-concerns",1/5/2024 0:00:00,"N"
"A  ",166,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A166","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Directs Dept. of Agriculture to develop and implement beginning farmer mentoring program in cooperation with certain agricultural and educational organizations and entities.",,,"A3617","A4191",11/20/2023 0:00:00,"Farmer mentoring program-Department of Agricultural develop & implement",1/29/2024 0:00:00,"Y"
"A  ",168,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A168","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Establishes bipartisan task force to study response to COVID-19 in New Jersey.",,"S1849","A3622","A6138",11/20/2023 0:00:00,"COVID-19 response in NJ-establish bipartisan task force to study",1/18/2024 0:00:00,"N"
"A  ",169,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A169","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits payment of temporary disability benefits to incarcerated individuals.",,,"A3628","A2898",11/20/2023 0:00:00,"Incarcerated individual-prohibits payment of temporary disability benefits",1/30/2024 0:00:00,"Y"
"A  ",170,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A170","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Expands authority of emergency management departments in requesting assistance outside normal territorial jurisdictions.",,"S1853","A3631","A4048",1/5/2024 0:00:00,"Emerg. mgmt. depts-expands authority requesting asst outside normal jurisdiction",5/2/2024 0:00:00,"N"
"A  ",172,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A172","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"The ""School Safety and Security Act""; establishes penalties for certain criminal acts committed on school property.",,"S1673","A3636 S1670","A2896",11/20/2023 0:00:00,"School Safety & Security Act-establishes penalties for criminal acts on sch prop",1/30/2024 0:00:00,"Y"
"A  ",173,"AHU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A173","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Provides for drug testing of adult recipients of Work First New Jersey program benefits.",,,"A3638","A2969",11/20/2023 0:00:00,"Work First NJ program benefits-provide drug testing of adult recipients",11/20/2023 0:00:00,"N"
"A  ",175,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A175","R","R","R",,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Matsikoudis, Michele ","Requires medical testing for certain persons in circumstances when first responders may be exposed to bloodborne pathogens.",,,"A3648","A3421 S438",11/20/2023 0:00:00,"First responders-medical testing required, when exposed to bloodborne pathogens",6/19/2025 0:00:00,"N"
"A  ",176,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A176","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Clarifies that licensed dealers may provide firearms for display at fund raising events sponsored by certain tax exempt organizations.",,,"A3651","A4062",11/20/2023 0:00:00,"Firearm display-clarifies licensed dealers provide at fund raising events",11/20/2023 0:00:00,"N"
"A  ",177,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A177","R","R","D",,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Morales, Carmen Theresa","Requires portable anti-choking devices be placed in schools.",,"S908","A3778 S73","S3630 A5524",11/20/2023 0:00:00,"Anti-choking devices, portable-require in schools",11/14/2024 0:00:00,"Y"
"A  ",180,"ACO",1/9/2024 0:00:00,1/9/2024 0:00:00,"A180","R","R",,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits social media websites from selectively suspending candidates for elective office and creates private right of action for users whose political or religious speech has been deleted.",,,"A4051",,11/20/2023 0:00:00,"Social media websites-proh. selectively suspending candidate for elective office",11/20/2023 0:00:00,"N"
