BillType,BillNumber,CurrentStatus,LDOA,IntroDate,ActualBillNumber,BillParty1,BillParty2,BillParty3,GovernorAction,GovernorDateOfAction,PamphletLaw,ChapterLaw,EffectOnStatutes,EffectiveDate,Codification,FirstPrime,SecondPrime,ThirdPrime,Synopsis,EfDateNote,IdenticalBillNumber,LastSessionFullBillNumber,OldBillNumber,ProposedDate,Abstract,ModDate,FNCertified,billuuid
A  ,110,ASL,2024-01-09,2024-01-09,A110,R,R,,,,,,,,,"Guardian, Donald A.","Sauickie, Alex ",,Revises criteria to establish base year for homestead property tax reimbursement after relocation.,,S1756,A1327/2873 (ACS)  S2148,A1309 S566,2023-11-17,Homestead property tax reimbursement-revises criteria to establish base year,2025-02-10,Y,6aca38fb-0b3b-4331-ae14-ba525e93d824
A  ,111,AHU,2024-01-09,2024-01-09,A111,R,D,,,,,,,,,"Guardian, Donald A.","Venezia, Michael ",,Requires DHS to create English and Spanish-language Internet websites to promote enrollment in affordable health care plans.,,S97,A1338 S1956,A1321 S1185,2023-11-17,Affordable health care plans-create English/Spanish language Internet websites,2024-02-08,Y,ef92eae9-a8b5-4838-98b0-a40ec743a69b
A  ,112,ATR,2024-01-09,2024-01-09,A112,R,D,R,,,,,,,,"Guardian, Donald A.","Bailey, David ","Scharfenberger, Gerry ",Exempts certain motor vehicles that are owned by certain nutrition programs and certain nonprofit organizations that offer social services from motor vehicle registration fees.,,S2723,A1476 (1R) S930,A1444,2023-11-17,Senior nutrition programs' motor vehicles-exempts from registration fees,2024-03-07,Y,1e7e127c-a3ea-4783-be8b-99585b4311a4
A  ,113,AHE,2024-01-09,2024-01-09,A113,R,,,,,,,,,,"Guardian, Donald A.",,,Requires retail establishments to allow individuals with certain medical conditions access to employee restrooms.,,,A1874 S574,A4000 S1427,2023-11-17,Individual with medical condition-retail establishment allow access to restroom,2024-01-30,Y,c85a75e5-f834-4117-879e-c098db4d8745
A  ,114,ACW,2024-01-09,2024-01-09,A114,R,,,,,,,,,,"Guardian, Donald A.",,,Establishes Statewide database of beds in shelters for the homeless.,,S1152,A1956,A2186 (1R) S1599 (1R),2024-01-05,Homeless shelter-establish Statewide database of beds,2024-01-29,N,cacb1d1a-e527-4902-a5f8-1ab6eca99fb4
A  ,115,AHU,2024-01-09,2024-01-09,A115,R,,,,,,,,,,"Guardian, Donald A.",,,"""New Jersey Disability Savings Act.""",,S804,A2043 (3R) S690 (1R),A6111 S4100,2023-11-17,Disability Savings Act-concerns tax deductions for certain disability expenses,2024-12-11,Y,a184746d-ba46-464f-97a5-c92e01260029
A  ,116,ASL,2024-01-09,2024-01-09,A116,R,D,,,,,,,,,"Guardian, Donald A.","Peterpaul, Luanne M.",,"Requires State department, agency, authority, or instrumentality thereof to provide link on its website for members of public to submit complaints.",,S2747  ,A2659 S2405,A1296 S2214,2023-11-17,"Complaints, public-State department required to provide a link on its website",2024-02-22,N,713065a6-de46-4533-a837-faf1b343ca20
A  ,117,AEN,2024-01-09,2024-01-09,A117,R,,,,,,,,,,"Guardian, Donald A.",,,Authorizes performance of supplemental environmental project to replace portion of monetary penalties for environmental violations in certain circumstances.,,,A2744,A3706,2023-11-17,"Environmental project, supplemental-replace portion of monetary penalty for viol",2023-11-17,N,5f4c3426-2d63-4eca-8717-3139ec610525
A  ,118,AMV,2024-01-09,2024-01-09,A118,R,,,,,,,,,,"Guardian, Donald A.",,,Provides credits under corporation business tax and gross income tax for qualified wages of certain disabled veterans.,,S2301  ,A3374 S1477,A265 S1571,2023-11-17,"Veterans, disabled-provides credits under CBT and income tax for qualified wages",2024-01-30,Y,52796c4f-9b81-4982-882b-5e6deb9b134b
A  ,119,ALA,2024-01-09,2024-01-09,A119,R,,,,,,,,,,"Guardian, Donald A.",,,Allocates $50 million to Department of Labor and Workforce Development from federal government assistance to improve unemployment insurance benefit claims processing capacity.,,,A3828 S2379,A4380 S2488,2023-11-17,"Labor & Workforce Devel.-allocates $50M from fed. govt assistance, improve unemp",2023-11-17,N,b0814a22-3ae8-495b-af2b-54d433e2c003
A  ,120,ALA,2024-01-09,2024-01-09,A120,R,,,,,,,,,,"Guardian, Donald A.",,,Directs State Auditor to audit Division of Unemployment and Temporary Disability Insurance in DOLWD.,,,A3829 S2380,S2512 A4249,2023-11-17,"Unemployment & Temp Disability Insurance, Division-direct State Auditor to audit",2023-11-17,N,4d637e37-ce6f-48f8-a209-389bbc120a1d
A  ,121,WAPP,2024-01-09,2024-01-09,A121,R,,,,,,,,,,"Guardian, Donald A.",,,Authorizes CRDA to finance transportation projects between Atlantic City Airport and Atlantic City Tourism District.,,S151,A3936 S1110,S497,2023-11-17,Transportation projects between AC Airport & Tourism Dist.-auth. CRDA to finance,2024-01-22,N,5437b276-25c5-4994-bcf0-e666997069bb
A  ,122,ASL,2024-01-09,2024-01-09,A122,R,,,,,,,,,,"Guardian, Donald A.",,,Requires establishment of central database of State programs on official website.,,,A4220,,2023-11-17,"Programs, State-requires establishment of central database on official website",2024-01-31,Y,4692146d-7346-477f-8450-6bfd742c87a3
A  ,123,AMV,2024-01-09,2024-01-09,A123,R,,,,,,,,,,"Guardian, Donald A.",,,Requires partial State reimbursement to municipalities for cost of disabled veterans' total property tax exemption.,,,A4226 S2920,,2023-11-17,Disabled veterans total property tax exemption-req. partial State reimbursement,2024-01-30,Y,dd37b1a9-dc16-4807-b53f-a851c496aff3
A  ,124,AED,2024-01-09,2024-01-09,A124,R,D,,,,,,,,,"Guardian, Donald A.","Morales, Carmen Theresa",,"Allows gross income tax deduction for up to $1,200 of unreimbursed expenses incurred by eligible educators for purchase of classroom supplies.",,S953,A4246 S2858,,2023-11-17,"Classroom supply purch.-allow income tax deduction up to $1200, unreimb expenses",2024-02-22,Y,c620351a-959f-4bac-8164-6d8ddf6b38e8
A  ,125,APS,2024-01-09,2024-01-09,A125,R,,,,,,,,,,"Guardian, Donald A.",,,Establishes annual 9-1-1 PSAP County Grants.,,,A4345,,2023-11-17,"9-1-1 PSAP County Grants, annual-establishes",2024-01-31,Y,92ac6858-e86c-40f7-9184-feba0a9afe1f
A  ,126,ALA,2024-01-09,2024-01-09,A126,R,D,,,,,,,,,"Guardian, Donald A.","Drulis, Mitchelle ",,Provides family leave for employee to attend certain events of child of employee; establishes tax credits for employer that provide full paid family leave benefits.,,S172,A4388 S2897,,2023-11-17,Family leave-provides for employee to attend certain events of child of employee,2025-06-12,Y,844e39d2-b9e3-4007-9c3d-1d699862ad82
A  ,127,ASL,2024-01-09,2024-01-09,A127,R,,,,,,,,,,"Guardian, Donald A.",,,Requires State employer to ascertain child abuse or sexual misconduct in employment applications for certain positions involving children; requires background checks for current and prospective employees.,,S628,A4480 S2688,,2023-11-17,"Employment in positions involving children, State-concerns requirements",2024-02-22,Y,dc7e769f-0032-48f6-8e28-1e33ae3b2710
A  ,128,ACE,2024-01-09,2024-01-09,A128,R,D,,,,,,,,,"Guardian, Donald A.","Morales, Carmen Theresa",,"Allows gross income tax deduction of up to $1,200 for purchases of school supplies by parents and guardians.",,,A4560,,2023-11-17,"School supplies-allows tax deduction up to $1,200, purchases by parent/guardian",2024-04-04,Y,8193e789-12e5-4d0b-bdd6-aa9fc43a58f9
A  ,129,ACE,2024-01-09,2024-01-09,A129,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes procedures for seizure, care, and forfeiture of animals involved in animal cruelty violations.",,,A4563,,2024-01-04,"Animal cruelty violations-establish procedures for seizure, care, and foreiture",2024-01-31,Y,76b8c876-3147-4e73-ac3c-b680cd39153a
A  ,130,ACE,2024-01-09,2024-01-09,A130,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Rural Business Development Program"" in EDA; appropriates $35 million to EDA from federal funds.",,,A4579,S2771 A5356,2023-11-17,Rural Business Development Program-establishes in EDA;$35M,2024-01-30,Y,608a41d3-f9f7-4772-9a3d-e742e5995167
A  ,131,ACE,2024-01-09,2024-01-09,A131,R,,,,,,,,,,"Guardian, Donald A.",,,"Authorizes free hunting, fishing, and trapping licenses and free admission to State parks and forests for disabled veterans and individuals with certain types of military service.",,,A4603 S158 w/c,S196,2024-01-04,Military service-auth. free hunting/fishing lic & free admission to St. parks,2025-02-10,Y,5dcd1720-7df3-423e-b55b-e129145ddae6
A  ,132,ACE,2024-01-09,2024-01-09,A132,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes certain animal abuse offenses committed in manner manifesting extreme indifference to value of animal's life as crime of second degree; designated as ""River's Law.""",,S1656,A4664 S633,S614 A1954,2024-01-04,"River's Law-animal abuse, value of animal's life, second degree crime",2024-01-29,Y,4a23ced1-49d7-487e-8e0a-bd5326d945b3
A  ,133,APS,2024-01-09,2024-01-09,A133,R,D,,,,,,,,,"Guardian, Donald A.","Spearman, William W.",,"Establishes ""ATV Law Enforcement Task Force"" to enhance and coordinate efforts to enforce laws pertaining to ATVs; appropriates $1 million.",,S175,A4728 S3063,,2023-11-17,"ATV Law Enforce. Task Force-estab., enhance & coordinate efforts to enforce laws",2024-01-31,Y,707a9452-24f5-4b8a-a229-85e1038ef60b
A  ,134,ALA,2024-01-09,2024-01-09,A134,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes Nuclear Energy Apprenticeship, Training, and Employment Resources Pilot Program in DOLWD; appropriates $1 million.",,S1615,A4773 S3149,,2023-11-17,"Nuclear Energy Apprenticeship, Training, & Employment Resources Pilot Prog-estab",2024-01-30,Y,302514cd-7667-4022-b21b-c1b2674c3f37
A  ,135,AED,2024-01-09,2024-01-09,A135,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""Summer Earn and Learn Pilot Program.""",,S2207,A4844 S1663,S3725,2023-11-17,Summer Earn & Learn Pilot Program-estab.; concerns access to suppl learning asst,2024-01-29,Y,d8263286-03ab-4966-8940-4c0ff9c50afe
A  ,136,ATU,2024-01-09,2024-01-09,A136,R,,,,,,,,,,"Guardian, Donald A.",,,Establishes Rural Broadband Infrastructure Grant Program in EDA; appropriates $2.5 million in federal funds.,,S732,A5050 S3730,,2023-11-17,Rural Broadband Infrastructure Grant Program-establish;$2.5M in federal funds,2024-02-08,Y,d98ae100-89e1-4f19-a023-41cd67a577d7
A  ,137,ATG,2024-01-09,2024-01-09,A137,R,,,,,,,,,,"Guardian, Donald A.",,,"Establishes ""County Tourism Incentive Grant Fund"" within Department of Treasury to provide funding for grants to counties to support tourism advertising and promotion.",,S159,A5155 S2192,S488 (1R) w/c,2023-11-17,County Tourism Incentive Grant Fund-establishes,2024-01-30,Y,0fd777a7-9aa2-495d-91c4-0366f3b9c440
A  ,138,AJU,2024-01-09,2024-01-09,A138,R,,,,,,,,,,"Guardian, Donald A.",,,Creates behavioral health court pilot program.,,S193,A5719 S4039,,2023-11-17,Behavioral health court pilot program-creates,2024-01-30,Y,43cc0645-b3f6-442b-8714-bde76b61695b
A  ,139,ASL,2024-01-09,2024-01-09,A139,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Repeals sections of law pertaining to transfer of civil service and non-civil service employees of terminated local health agency to superseding agency.,,,A102,A122,2023-11-20,"Local health agency, cert employees-repeals law, transfer to superseding agency",2023-11-20,N,2187a7dc-bc23-4100-871a-48ce5144d1ec
A  ,140,ACW,2024-01-09,2024-01-09,A140,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits the imposition of affordable housing need and related fees upon the local transfer or move of a business.,,S492,A104 S1281,A124,2023-11-20,Affordable housing need/fee-proh imposition upon local transfer or business move,2024-01-29,Y,b59402f7-bbfb-4d14-8466-9238fb4b28fd
A  ,141,AEN,2024-01-09,2024-01-09,A141,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Clarifies that Fish and Game Council has sole authority to regulate freshwater fishing, hunting, and trapping.",,S1839,A114 S1685,A136 S1419,2024-01-04,Freshwater fishing/hunting/trapping-Fish/Game Council sole authority to regulate,2024-01-11,N,86950c48-8c32-4873-b196-c410cb3540f0
A  ,142,AED,2024-01-09,2024-01-09,A142,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Restricts Commissioner of Education's authority to reject school district's budget proposal.,,S1841,A121,A143,2023-11-20,School district's budget proposal-restricts Ed. Commissioner authority to reject,2024-01-11,N,c18f430a-9405-4277-8f4c-8d89996d3413
A  ,143,ACE,2024-01-09,2024-01-09,A143,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Requires Dept. of Agriculture to provide for electronic submittal of milk dealer license applications.,,S1842,A125,A148,2024-01-04,Milk dealer license application-Agriculture Department prov electronic submittal,2024-01-29,Y,6830049d-c740-4534-968a-3983302bf969
A  ,144,ATU,2024-01-09,2024-01-09,A144,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Exempts certain water quality management structures, funded by certain federal and State grants, from real property taxation.",,,A128,A151,2023-11-20,Water quality management structures-exempts from real property taxation,2024-01-30,Y,76b0b3b4-d9ed-4fc8-9bbf-c7eb16226ed2
A  ,146,AEN,2024-01-09,2024-01-09,A146,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits State departments and agencies from considering or requiring compliance by Highlands planning area municipalities with Highlands regional master plan in certain circumstances.,,,A133,A155,2023-11-20,Highlands planning area-prohibits State departments from considering compliance,2024-01-29,Y,6173b856-56cf-435e-acc1-95b85e07b101
A  ,147,AEN,2024-01-09,2024-01-09,A147,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Provides for direct property tax relief from Highlands Property Tax Stabilization Fund.,,,A136,A158,2023-11-20,Highlands Property Tax Stabilization Fund-provides direct property tax relief,2024-01-30,Y,b27e7abc-183e-47cc-b4d8-6046ff1c1caf
A  ,148,ACE,2024-01-09,2024-01-09,A148,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Permits farm income averaging credit under the New Jersey gross income tax.,,S640,A143 S3501,A167,2024-01-05,Farm income averaging credit-permits under the NJ gross income tax,2024-01-30,Y,e83e2193-b64a-4740-af83-8fb500e68abc
A  ,150,ASL,2024-01-09,2024-01-09,A150,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Eliminates requirement for State residency for public officers and employees with limited historic exceptions.,,S1669,A148 S833,A174 S261,2023-11-20,Public officers and employees w/limited historic exceptions-elim State resid req,2024-11-14,N,98f619c9-801f-4a6e-a5fc-e0c024033aaf
A  ,151,AED,2024-01-09,2024-01-09,A151,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Requires minimum geographic cost adjustment for school districts in all counties.,,,A149,A175 S2164,2023-11-20,School districts in all counties-requires miminum geographic cost adjustment,2024-01-29,Y,ba2e6c5d-1781-4b9e-bd69-0ec6d1312ca5
A  ,152,AEN,2024-01-09,2024-01-09,A152,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits State's participation in multi-state cap-and-trade program to reduce carbon emissions from transportation sector.,,,A156,A183,2023-11-20,Emissions-prohibits State's participation in multi-state cap-and-trade prog.,2023-11-20,N,4978141d-2543-4f4f-a84c-3962ff685452
A  ,153,APS,2024-01-09,2024-01-09,A153,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Exempts certain volunteer emergency service organizations from charitable contribution filing fees.,,S863,A423 S2547,A380,2023-11-20,Volunteer emergency service org.-exempts from charitable contrib filing fees,2024-02-22,Y,fafd4aeb-5f35-498c-a302-ff91672ef086
A  ,155,AED,2024-01-09,2024-01-09,A155,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Includes value of certain properties exempt from taxation in valuation used to calculate State school aid in SDA districts.,,,A437,A398,2023-11-20,State school aid calculation-incl. value of tax exempt prop. from tax valuation,2024-01-29,Y,dd8b46c3-2865-4e98-85bc-9958b8bafa91
A  ,156,ASL,2024-01-09,2024-01-09,A156,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Eliminates seniority in Civil Service and other jurisdictions for reductions in force in certain circumstances.,,,A2161,A2951,2023-11-20,Civil Service-eliminates seniority for reductions in force,2024-01-31,Y,ea6ef314-7bfc-4bb3-a942-7f9f66bcfb83
A  ,157,ASL,2024-01-09,2024-01-09,A157,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Prohibits exemption of school purposes property taxes under ""Long Term Tax Exemption Law.""",,,A2163,A5101,2023-11-20,School purposes property taxes-prohibits exemption,2023-11-20,N,d6ff530a-9a80-47ed-9ec0-0141cbf506e2
A  ,158,AHO,2024-01-09,2024-01-09,A158,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Authorizes imposition of additional fines for overcrowding.,,,A2169,A3435,2023-11-20,Overcrowding-authorize additional fines having violated occupancy requirements,2023-11-20,N,585b4247-0338-4ad1-a8d7-de8533468fd1
A  ,159,AOF,2024-01-09,2024-01-09,A159,R,R,R,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Kanitra, Paul ",Prohibits municipal ordinance to create sanctuary city; establishes State and local employee ethics violation upon noncompliance with federal immigration enforcement request.,,S2560  ,A2653,A5627 S431,2023-11-20,Sanctuary city-prohibits municipal ordinance to create,2024-05-16,N,067e5469-6004-40c7-841e-83461fb771a2
A  ,160,ACE,2024-01-09,2024-01-09,A160,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits Dept. of Agriculture from regulating minimum property size required per number of honeybee hives.,,,A2928,A1509,2024-01-05,Honeybee hives-proh. Dept. of Agriculture from regulating min prop size required,2024-01-05,N,95e331f6-4bff-4859-b5d1-5d7e5284a3d2
A  ,161,AJU,2024-01-09,2024-01-09,A161,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Adds rock climbing, bouldering, and ice climbing to definition of ""sport and recreational activities"" in law concerning landowner liability.",,,A3178,A4307,2023-11-20,Sport & recreational activity-add rock climbing in law concerning landowner liab,2023-11-20,N,4a5d0625-3fa5-4614-b90a-9de5f259262f
A  ,162,AEN,2024-01-09,2024-01-09,A162,R,R,R,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Dunn, Aura K.",Allows possession of bear spray under certain conditions.,,S824,A3606 S1770,A6068 S4111,2024-01-05,Bear spray-allows possession under certain conditions,2024-10-17,N,274c3b6d-1bfa-450a-a64e-ca872552fdfc
A  ,163,AHI,2024-01-09,2024-01-09,A163,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Exempts public institutions of higher education from motor vehicle registration fee.,,S1846,A3609,A4051,2023-11-20,Motor vehicle registration fees-exempts public higher education institutions,2024-01-31,Y,c4e534b2-0246-4eb6-b33d-092bfb28ca8f
A  ,164,ALA,2024-01-09,2024-01-09,A164,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"""New Jersey Jobs Protection Act""; requires verification of employment.",,S1847,A3610 S647,A4602 S424,2023-11-20,Jobs Protection Act-verification of employment required,2024-03-11,Y,f55f05a8-35ef-4a36-bf8d-1f1730a3b795
A  ,165,AEN,2024-01-09,2024-01-09,A165,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Concerns endangered plant species in NJ.,,,A3616,A2907,2024-01-05,"Plant species, endangered in NJ-concerns",2024-01-05,N,b3820c78-ad29-4699-8362-9ca549dccb6c
A  ,166,ACE,2024-01-09,2024-01-09,A166,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Directs Dept. of Agriculture to develop and implement beginning farmer mentoring program in cooperation with certain agricultural and educational organizations and entities.,,,A3617,A4191,2023-11-20,Farmer mentoring program-Department of Agricultural develop & implement,2024-01-29,Y,fdde7d14-2428-45de-a96e-c777326c19e9
A  ,168,AHE,2024-01-09,2024-01-09,A168,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Establishes bipartisan task force to study response to COVID-19 in New Jersey.,,S1849,A3622,A6138,2023-11-20,COVID-19 response in NJ-establish bipartisan task force to study,2024-01-18,N,889b0002-001e-40eb-9843-960a99c8f643
A  ,169,ALA,2024-01-09,2024-01-09,A169,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits payment of temporary disability benefits to incarcerated individuals.,,,A3628,A2898,2023-11-20,Incarcerated individual-prohibits payment of temporary disability benefits,2024-01-30,Y,987fae3b-bcf0-4223-9242-7a6128b1fe2f
A  ,170,APS,2024-01-09,2024-01-09,A170,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Expands authority of emergency management departments in requesting assistance outside normal territorial jurisdictions.,,S1853,A3631,A4048,2024-01-05,Emerg. mgmt. depts-expands authority requesting asst outside normal jurisdiction,2024-05-02,N,e87e146e-e0e8-43de-8482-35dc806398ac
A  ,172,AED,2024-01-09,2024-01-09,A172,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"The ""School Safety and Security Act""; establishes penalties for certain criminal acts committed on school property.",,S1673,A3636 S1670,A2896,2023-11-20,School Safety & Security Act-establishes penalties for criminal acts on sch prop,2024-01-30,Y,a2acc516-b8f4-44ab-8034-e510711bc65c
A  ,173,AHU,2024-01-09,2024-01-09,A173,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Provides for drug testing of adult recipients of Work First New Jersey program benefits.,,,A3638,A2969,2023-11-20,Work First NJ program benefits-provide drug testing of adult recipients,2023-11-20,N,d17500c8-fb13-469d-830c-60a258702667
A  ,175,AHE,2024-01-09,2024-01-09,A175,R,R,R,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Matsikoudis, Michele ",Requires medical testing for certain persons in circumstances when first responders may be exposed to bloodborne pathogens.,,,A3648,A3421 S438,2023-11-20,"First responders-medical testing required, when exposed to bloodborne pathogens",2025-06-19,N,46b804ce-968b-49d0-8008-eb492777f2f9
A  ,176,AJU,2024-01-09,2024-01-09,A176,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Clarifies that licensed dealers may provide firearms for display at fund raising events sponsored by certain tax exempt organizations.,,,A3651,A4062,2023-11-20,Firearm display-clarifies licensed dealers provide at fund raising events,2023-11-20,N,fca3fa59-01ea-42ce-9dc5-7c3078202110
A  ,177,AED,2024-01-09,2024-01-09,A177,R,R,D,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ","Morales, Carmen Theresa",Requires portable anti-choking devices be placed in schools.,,S908,A3778 S73,S3630 A5524,2023-11-20,"Anti-choking devices, portable-require in schools",2024-11-14,Y,e61fbdef-1d44-47b3-9339-51ae5d7c9eca
A  ,180,ACO,2024-01-09,2024-01-09,A180,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits social media websites from selectively suspending candidates for elective office and creates private right of action for users whose political or religious speech has been deleted.,,,A4051,,2023-11-20,Social media websites-proh. selectively suspending candidate for elective office,2023-11-20,N,19d0144a-f48c-4ac3-90dc-d0578683a313
A  ,181,ARP,2024-01-09,2024-01-09,A181,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,"Establishes minimum dollar amount required in Maintenance and Preservation Funds of cemetery companies established before December 1, 1971.",,S1869,A4449 S1668,S2031,2023-11-20,Cemetery companies-estab minimum dollar amount required in Maintenance/Preserv,2024-01-18,N,2c52b86c-4389-4407-a440-4939ef7de419
A  ,182,AEN,2024-01-09,2024-01-09,A182,R,R,,,,,,,,,"Fantasia, Dawn ","Inganamort, Michael ",,Prohibits DEP from requiring person under 16 years of age to obtain horseback riding permit to ride in State wildlife management areas.,,S2910,A5019 S3350,,2023-11-20,Horseback riding permit-prohibits DEP from requiring person under 16 to obtain,2024-02-22,Y,cadabeb1-965e-42c2-bfb1-cf964d616333
